sample-id,filename,direction
58912067,/scratch/groups/t-sprehei1/class_data/RockCreek/58912067_26_L001_R2_001.fastq.gz,reverse
58912054,/scratch/groups/t-sprehei1/class_data/RockCreek/58912054_27_L001_R1_001.fastq.gz,forward
58912054,/scratch/groups/t-sprehei1/class_data/RockCreek/58912054_27_L001_R2_001.fastq.gz,reverse
58912038,/scratch/groups/t-sprehei1/class_data/RockCreek/58912038_28_L001_R1_001.fastq.gz,forward
58912038,/scratch/groups/t-sprehei1/class_data/RockCreek/58912038_28_L001_R2_001.fastq.gz,reverse
58912052,/scratch/groups/t-sprehei1/class_data/RockCreek/58912052_29_L001_R1_001.fastq.gz,forward
58912052,/scratch/groups/t-sprehei1/class_data/RockCreek/58912052_29_L001_R2_001.fastq.gz,reverse
58912026,/scratch/groups/t-sprehei1/class_data/RockCreek/58912026_30_L001_R1_001.fastq.gz,forward
58912026,/scratch/groups/t-sprehei1/class_data/RockCreek/58912026_30_L001_R2_001.fastq.gz,reverse
58912046,/scratch/groups/t-sprehei1/class_data/RockCreek/58912046_31_L001_R1_001.fastq.gz,forward
58912046,/scratch/groups/t-sprehei1/class_data/RockCreek/58912046_31_L001_R2_001.fastq.gz,reverse
58912035,/scratch/groups/t-sprehei1/class_data/RockCreek/58912035_32_L001_R1_001.fastq.gz,forward
58912035,/scratch/groups/t-sprehei1/class_data/RockCreek/58912035_32_L001_R2_001.fastq.gz,reverse
58912042,/scratch/groups/t-sprehei1/class_data/RockCreek/58912042_33_L001_R1_001.fastq.gz,forward
58912042,/scratch/groups/t-sprehei1/class_data/RockCreek/58912042_33_L001_R2_001.fastq.gz,reverse
58912027,/scratch/groups/t-sprehei1/class_data/RockCreek/58912027_34_L001_R1_001.fastq.gz,forward
58912027,/scratch/groups/t-sprehei1/class_data/RockCreek/58912027_34_L001_R2_001.fastq.gz,reverse
58912065,/scratch/groups/t-sprehei1/class_data/RockCreek/58912065_35_L001_R1_001.fastq.gz,forward
58912065,/scratch/groups/t-sprehei1/class_data/RockCreek/58912065_35_L001_R2_001.fastq.gz,reverse
58912064,/scratch/groups/t-sprehei1/class_data/RockCreek/58912064_36_L001_R1_001.fastq.gz,forward
58912064,/scratch/groups/t-sprehei1/class_data/RockCreek/58912064_36_L001_R2_001.fastq.gz,reverse
58912040,/scratch/groups/t-sprehei1/class_data/RockCreek/58912040_37_L001_R1_001.fastq.gz,forward
58912040,/scratch/groups/t-sprehei1/class_data/RockCreek/58912040_37_L001_R2_001.fastq.gz,reverse
58912066,/scratch/groups/t-sprehei1/class_data/RockCreek/58912066_38_L001_R1_001.fastq.gz,forward
58912066,/scratch/groups/t-sprehei1/class_data/RockCreek/58912066_38_L001_R2_001.fastq.gz,reverse
58912062,/scratch/groups/t-sprehei1/class_data/RockCreek/58912062_39_L001_R1_001.fastq.gz,forward
58912062,/scratch/groups/t-sprehei1/class_data/RockCreek/58912062_39_L001_R2_001.fastq.gz,reverse
58912036,/scratch/groups/t-sprehei1/class_data/RockCreek/58912036_40_L001_R1_001.fastq.gz,forward
58912036,/scratch/groups/t-sprehei1/class_data/RockCreek/58912036_40_L001_R2_001.fastq.gz,reverse
58912039,/scratch/groups/t-sprehei1/class_data/RockCreek/58912039_41_L001_R1_001.fastq.gz,forward
58912039,/scratch/groups/t-sprehei1/class_data/RockCreek/58912039_41_L001_R2_001.fastq.gz,reverse
58912070,/scratch/groups/t-sprehei1/class_data/RockCreek/58912070_42_L001_R1_001.fastq.gz,forward
58912070,/scratch/groups/t-sprehei1/class_data/RockCreek/58912070_42_L001_R2_001.fastq.gz,reverse
58912058,/scratch/groups/t-sprehei1/class_data/RockCreek/58912058_43_L001_R1_001.fastq.gz,forward
58912058,/scratch/groups/t-sprehei1/class_data/RockCreek/58912058_43_L001_R2_001.fastq.gz,reverse
58912006,/scratch/groups/t-sprehei1/class_data/RockCreek/58912006_44_L001_R1_001.fastq.gz,forward
58912006,/scratch/groups/t-sprehei1/class_data/RockCreek/58912006_44_L001_R2_001.fastq.gz,reverse
58912041,/scratch/groups/t-sprehei1/class_data/RockCreek/58912041_45_L001_R1_001.fastq.gz,forward
58912041,/scratch/groups/t-sprehei1/class_data/RockCreek/58912041_45_L001_R2_001.fastq.gz,reverse
58912049,/scratch/groups/t-sprehei1/class_data/RockCreek/58912049_46_L001_R1_001.fastq.gz,forward
58912049,/scratch/groups/t-sprehei1/class_data/RockCreek/58912049_46_L001_R2_001.fastq.gz,reverse
58912084,/scratch/groups/t-sprehei1/class_data/RockCreek/58912084_47_L001_R1_001.fastq.gz,forward
58912084,/scratch/groups/t-sprehei1/class_data/RockCreek/58912084_47_L001_R2_001.fastq.gz,reverse
58912001,/scratch/groups/t-sprehei1/class_data/RockCreek/58912001_48_L001_R1_001.fastq.gz,forward
58912001,/scratch/groups/t-sprehei1/class_data/RockCreek/58912001_48_L001_R2_001.fastq.gz,reverse
58912023,/scratch/groups/t-sprehei1/class_data/RockCreek/58912023_49_L001_R1_001.fastq.gz,forward
58912023,/scratch/groups/t-sprehei1/class_data/RockCreek/58912023_49_L001_R2_001.fastq.gz,reverse
58912059,/scratch/groups/t-sprehei1/class_data/RockCreek/58912059_50_L001_R1_001.fastq.gz,forward
58912059,/scratch/groups/t-sprehei1/class_data/RockCreek/58912059_50_L001_R2_001.fastq.gz,reverse
58912022,/scratch/groups/t-sprehei1/class_data/RockCreek/58912022_51_L001_R1_001.fastq.gz,forward
58912022,/scratch/groups/t-sprehei1/class_data/RockCreek/58912022_51_L001_R2_001.fastq.gz,reverse
58912081,/scratch/groups/t-sprehei1/class_data/RockCreek/58912081_52_L001_R1_001.fastq.gz,forward
58912081,/scratch/groups/t-sprehei1/class_data/RockCreek/58912081_52_L001_R2_001.fastq.gz,reverse
58912008,/scratch/groups/t-sprehei1/class_data/RockCreek/58912008_53_L001_R1_001.fastq.gz,forward
58912008,/scratch/groups/t-sprehei1/class_data/RockCreek/58912008_53_L001_R2_001.fastq.gz,reverse
58912020,/scratch/groups/t-sprehei1/class_data/RockCreek/58912020_54_L001_R1_001.fastq.gz,forward
58912020,/scratch/groups/t-sprehei1/class_data/RockCreek/58912020_54_L001_R2_001.fastq.gz,reverse
58912021,/scratch/groups/t-sprehei1/class_data/RockCreek/58912021_55_L001_R1_001.fastq.gz,forward
58912021,/scratch/groups/t-sprehei1/class_data/RockCreek/58912021_55_L001_R2_001.fastq.gz,reverse
58912063,/scratch/groups/t-sprehei1/class_data/RockCreek/58912063_56_L001_R1_001.fastq.gz,forward
58912063,/scratch/groups/t-sprehei1/class_data/RockCreek/58912063_56_L001_R2_001.fastq.gz,reverse
58912043,/scratch/groups/t-sprehei1/class_data/RockCreek/58912043_57_L001_R1_001.fastq.gz,forward
58912043,/scratch/groups/t-sprehei1/class_data/RockCreek/58912043_57_L001_R2_001.fastq.gz,reverse
58912019,/scratch/groups/t-sprehei1/class_data/RockCreek/58912019_58_L001_R1_001.fastq.gz,forward
58912019,/scratch/groups/t-sprehei1/class_data/RockCreek/58912019_58_L001_R2_001.fastq.gz,reverse
58912007,/scratch/groups/t-sprehei1/class_data/RockCreek/58912007_59_L001_R1_001.fastq.gz,forward
58912007,/scratch/groups/t-sprehei1/class_data/RockCreek/58912007_59_L001_R2_001.fastq.gz,reverse
58912014,/scratch/groups/t-sprehei1/class_data/RockCreek/58912014_60_L001_R1_001.fastq.gz,forward
58912014,/scratch/groups/t-sprehei1/class_data/RockCreek/58912014_60_L001_R2_001.fastq.gz,reverse
58912057,/scratch/groups/t-sprehei1/class_data/RockCreek/58912057_61_L001_R1_001.fastq.gz,forward
58912057,/scratch/groups/t-sprehei1/class_data/RockCreek/58912057_61_L001_R2_001.fastq.gz,reverse
58912015,/scratch/groups/t-sprehei1/class_data/RockCreek/58912015_62_L001_R1_001.fastq.gz,forward
58912015,/scratch/groups/t-sprehei1/class_data/RockCreek/58912015_62_L001_R2_001.fastq.gz,reverse
58912053,/scratch/groups/t-sprehei1/class_data/RockCreek/58912053_63_L001_R1_001.fastq.gz,forward
58912053,/scratch/groups/t-sprehei1/class_data/RockCreek/58912053_63_L001_R2_001.fastq.gz,reverse
58912025,/scratch/groups/t-sprehei1/class_data/RockCreek/58912025_64_L001_R1_001.fastq.gz,forward
58912025,/scratch/groups/t-sprehei1/class_data/RockCreek/58912025_64_L001_R2_001.fastq.gz,reverse
58912050,/scratch/groups/t-sprehei1/class_data/RockCreek/58912050_65_L001_R1_001.fastq.gz,forward
58912050,/scratch/groups/t-sprehei1/class_data/RockCreek/58912050_65_L001_R2_001.fastq.gz,reverse
58912009,/scratch/groups/t-sprehei1/class_data/RockCreek/58912009_66_L001_R1_001.fastq.gz,forward
58912009,/scratch/groups/t-sprehei1/class_data/RockCreek/58912009_66_L001_R2_001.fastq.gz,reverse
58912012,/scratch/groups/t-sprehei1/class_data/RockCreek/58912012_67_L001_R1_001.fastq.gz,forward
58912012,/scratch/groups/t-sprehei1/class_data/RockCreek/58912012_67_L001_R2_001.fastq.gz,reverse
58912010,/scratch/groups/t-sprehei1/class_data/RockCreek/58912010_68_L001_R1_001.fastq.gz,forward
58912010,/scratch/groups/t-sprehei1/class_data/RockCreek/58912010_68_L001_R2_001.fastq.gz,reverse
58912076,/scratch/groups/t-sprehei1/class_data/RockCreek/58912076_69_L001_R1_001.fastq.gz,forward
